,0
0,"""steps"" section is missing in job ""Ubuntu"""
1,"unexpected key ""actions"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"""
2,"""steps"" section is missing in job ""Windows"""
3,"""steps"" section is missing in job ""run"""
4,"""jobs"" section is missing in workflow"
5,"""on"" section is missing in workflow"
6,workflow is scalar node but mapping node is expected
7,workflow is empty
8,string should not be empty
9,"unexpected key ""type"" for ""check_suite"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
10,"""matrix"" section is sequence node but mapping node is expected"
11,"unexpected key ""go-version"" for ""strategy"" section. expected one of ""fail-fast"", ""matrix"", ""max-parallel"""
12,"key ""build"" is duplicated in ""jobs"" section. previously defined at line:4,col:3. note that key names are case insensitive"
13,"key ""build"" is duplicated in ""jobs"" section. previously defined at line:13,col:3. note that key names are case insensitive"
14,"this step is for running action since it contains at least one of ""uses"", ""with"" keys, but also contains ""run"" key which is used for running shell command"
15,"unexpected key ""iconName"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
16,"unexpected key ""categories"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
17,"unexpected key ""description"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
18,"""runs-on"" section is missing in job ""build"""
19,"""steps"" section is missing in job ""build"""
20,"""steps"" section must be sequence node but got mapping node with ""!!map"" tag"
21,"unexpected key ""runs-on"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
22,"""runs-on"" section is missing in job ""build-py3"""
23,"""runs-on"" section is missing in job ""build-py2"""
24,"key ""build-py3"" is duplicated in ""jobs"" section. previously defined at line:14,col:3. note that key names are case insensitive"
25,"unexpected key ""secrets"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
26,"step must run script with ""run"" section or run action with ""uses"" section"
27,"unexpected key ""-uses"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"""
28,"""steps"" section is missing in job ""login"""
29,"""steps"" section must be sequence node but got scalar node with ""!!null"" tag"
30,"""runs-on"" section is missing in job ""publish"""
31,"unexpected key ""runs"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
32,"unexpected key ""args"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
33,"unexpected key ""entrypoint"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
34,"unexpected key ""ref"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
35,"unexpected key ""push"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
36,"unexpected key ""<<"" for ""pull_request"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
37,"unexpected key ""<<"" for ""push"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
38,"unexpected key ""paths"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
39,"unexpected key ""custom"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
40,"""paths"" section must be sequence node but got alias node with """" tag"
41,"""runs-on"" section is missing in job ""site"""
42,"""runs-on"" section is missing in job ""announce"""
43,"unexpected key ""use"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
44,"unexpected key ""path"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
45,"""schedules"" section is sequence node but mapping node is expected"
46,"unexpected key ""inputs"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
47,"expected scalar node for string value but found mapping node with ""!!map"" tag"
48,"""runs-on"" section is missing in job ""ci"""
49,"""status"" section is sequence node but mapping node is expected"
50,"""runs-on"" section is missing in job ""self-approve"""
51,"""self-approve"" job is sequence node but mapping node is expected"
52,"""steps"" section is missing in job ""self-approve"""
53,"""steps"" section is missing in job ""conclusion"""
54,"expecting a single ${{...}} expression or mapping value for ""env"" section, but found plain text node"
55,"unexpected key ""rust"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"""
56,"""push"" section is scalar node but mapping node is expected"
57,"""jobs"" section is sequence node but mapping node is expected"
58,"""pull_request"" section is sequence node but mapping node is expected"
59,"key ""if"" is duplicated in element of ""steps"" section. previously defined at line:203,col:7. note that key names are case insensitive"
60,"key ""if"" is duplicated in element of ""steps"" section. previously defined at line:180,col:7. note that key names are case insensitive"
61,"this step is for running shell command since it contains at least one of ""run"", ""shell"" keys, but also contains ""uses"" key which is used for running action"
62,"""runs-on"" section is missing in job ""package_mac"""
63,"unexpected key ""runs_on"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"""
64,"""runs-on"" section is missing in job ""package_linux"""
65,"""push"" section is sequence node but mapping node is expected"
66,"""working-directory"" is not available with ""uses"". it is only available with ""run"""
67,"key ""run"" is duplicated in element of ""steps"" section. previously defined at line:65,col:9. note that key names are case insensitive"
68,"unexpected key ""type"" for ""release"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
69,"unexpected key ""pull_request"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
70,"expected ""inputs"" key for ""workflow_dispatch"" section but got ""branches"""
71,"unexpected key ""before_script"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"""
72,"unexpected key ""needs"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
73,"""tags"" section is sequence node but mapping node is expected"
74,"""paths"" section is sequence node but mapping node is expected"
75,"expected scalar node for string value but found sequence node with ""!!seq"" tag"
76,"unexpected key ""ref_type"" for ""create"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
77,"unexpected key ""branch"" for ""push"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
78,"unexpected key ""actions"" for ""release"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
79,"this step is for running shell command since it contains at least one of ""run"", ""shell"" keys, but also contains ""with"" key which is used for running action"
80,"""steps"" section is missing in job ""steps"""
81,"""steps"" job is sequence node but mapping node is expected"
82,"""runs-on"" section is missing in job ""steps"""
83,"""runs-on"" section is missing in job ""strategy"""
84,"unexpected key ""matrix"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"""
85,"expecting a single ${{...}} expression or array value for matrix variations, but found plain text node"
86,"""runs-on"" section is missing in job ""deploy"""
87,"key ""jobs"" is duplicated in workflow. previously defined at line:12,col:1. note that key names are case insensitive"
88,"key ""rebase"" is duplicated in ""jobs"" section. previously defined at line:212,col:3. note that key names are case insensitive"
89,"""runs-on"" section is missing in job ""build-linux"""
90,"unexpected key ""action"" for ""pull_request_target"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
91,"unexpected key ""commit_message"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
92,"""schedule"" section must be sequence node but got mapping node with ""!!map"" tag"
93,"unexpected key ""on"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
94,"""needs"" section should not be empty"
95,"key ""env"" is duplicated in element of ""steps"" section. previously defined at line:21,col:7. note that key names are case insensitive"
96,"key ""head_ref"" is duplicated in ""outputs"" section. previously defined at line:24,col:7. note that key names are case insensitive"
97,"unexpected key ""body"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
98,"unexpected key ""labels"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
99,"unexpected key ""title"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
100,"element of ""steps"" section is alias node but mapping node is expected"
101,"""runs-on"" section is missing in job ""count"""
102,"key ""run"" is duplicated in element of ""steps"" section. previously defined at line:10,col:9. note that key names are case insensitive"
103,"""runs-on"" section is missing in job ""test"""
104,"""steps"" section is missing in job ""runs-on"""
105,"""steps"" section is missing in job ""strategy"""
106,"""runs-on"" section is missing in job ""runs-on"""
107,"""runs-on"" job is scalar node but mapping node is expected"
108,"unexpected key ""default-directory"" for ""run"" section. expected one of ""shell"", ""working-directory"""
109,"unexpected key ""continue-on-error"" for ""run"" section. expected one of ""shell"", ""working-directory"""
110,"unexpected key ""BUILD_PYTHON_VERSION"" for ""run"" section. expected one of ""shell"", ""working-directory"""
111,"unexpected key ""MIN_OPENSSL_VERSION"" for ""run"" section. expected one of ""shell"", ""working-directory"""
112,"unexpected key ""MIN_PYTHON_VERSION"" for ""run"" section. expected one of ""shell"", ""working-directory"""
113,"unexpected key ""PYINSTALLER_COMMIT"" for ""run"" section. expected one of ""shell"", ""working-directory"""
114,"unexpected key ""PATCHELF_VERSION"" for ""run"" section. expected one of ""shell"", ""working-directory"""
115,"unexpected key ""BUILD_OPENSSL_VERSION"" for ""run"" section. expected one of ""shell"", ""working-directory"""
116,"unexpected key ""key"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
117,"key ""uses"" is duplicated in element of ""steps"" section. previously defined at line:98,col:9. note that key names are case insensitive"
118,"""on"" section is sequence node but mapping node is expected"
119,"unexpected key ""path"" for ""run"" section. expected one of ""shell"", ""working-directory"""
120,"unexpected key ""publish"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
121,"expected ""run"" key for ""defaults"" section but got ""timeout-minutes"""
122,"""defaults"" section should have ""run"" section"
123,"unexpected key ""PROJECT_ID"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
124,"unexpected key ""path"" for ""push"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
125,"unexpected key ""path"" for ""pull_request"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
126,"unexpected key ""path-ignore"" for ""push"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
127,"unexpected key ""path-ignore"" for ""pull_request"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
128,env is sequence node but mapping node is expected
129,"unexpected key ""tags_ignore"" for ""push"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
130,"key ""branches"" is duplicated in ""push"" section. previously defined at line:11,col:5. note that key names are case insensitive"
131,"unexpected key ""if"" for ""push"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
132,"element of ""schedule"" section must be mapping and must contain one key ""cron"""
133,"key ""name"" is duplicated in ""build"" job. previously defined at line:6,col:5. note that key names are case insensitive"
134,"group name is missing in ""concurrency"" section"
135,"expected ""inputs"" key for ""workflow_dispatch"" section but got ""ref"""
136,"unexpected key ""pull-requests"" for ""push"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
137,"""uses"" is required to run action in step"
